年度,管制編號,事業名稱,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,地址,緯度,經度
113,B2311535,台灣康寧顯示玻璃股份有限公司,4388145,"38,951.0667","287,077.0164","326,028.083",臺中市,其他非金屬礦物製品製造業,407台灣臺中市西屯區科園路1號,24.2012912,120.6177527
113,B2313762,宏全國際股份有限公司台中二廠,58176511,630.7632,"31,376.1456","32,006.909",臺中市,塑膠製品製造業,435台灣臺中市梧棲區大業路6號,24.234655,120.513785
113,B2313780,友達光電股份有限公司台中廠,84149738,"18,663.4376","811,175.6329","829,839.071",臺中市,光電材料及元件製造業,421台灣臺中市后里區馬場路1號,24.2954401,120.7268487
113,B23A2532,亞東工業氣體股份有限公司-中科園區分公司,22522453,2.6947,"54,319.5477","54,322.242",臺中市,未分類其他化學製品製造業,428台灣臺中市大雅區科雅東路19號,24.2094541,120.6228732
113,B23B6125,台灣積體電路製造股份有限公司十五B廠,22099131,"179,189.8553","1,564,512.2181","1,743,702.073",臺中市,半導體製造業,407台灣台中市西屯区新科路1號,24.2118688,120.6086166
113,B24A7498,大立光電股份有限公司精密機械園區廠,22480876,367.2189,"40,124.0882","40,491.307",臺中市,光學儀器及設備製造業,408台灣臺中市南屯區精科路11號,24.1473235,120.6042492
113,B24B8988,大立光電股份有限公司七廠,22480876,.4005,"73,630.1959","73,630.596",臺中市,光學儀器及設備製造業,408台灣臺中市南屯區精科路13號,24.1478905,120.6054873
113,B24B8998,大立光電股份有限公司七之一廠,22480876,214.1421,"50,404.8481","50,618.99",臺中市,光學儀器及設備製造業,408台灣臺中市南屯區精科路13號,24.1478905,120.6054873
113,B9100709,華新麗華股份有限公司台中不銹鋼廠,35412204,"41,533.9532","39,311.664","80,845.617",臺中市,金屬加工處理業,435台灣臺中市梧棲區經三路57號,24.2469644,120.5116444
113,B9101742,立安東化工股份有限公司台中廠,20939460,"49,902.3108","7,292.7744","57,195.085",臺中市,化學原材料製造業,435台灣梧棲區南堤路,24.2666702,120.4998349
113,B9110385,昇陽國際半導體股份有限公司中港廠,84149884,"2,857.1083","6,158.9455","9,016.054",臺中市,半導體製造業,435台灣臺中市梧棲區建七路2號,24.2396843,120.5165151
113,B9200124,友達晶材股份有限公司后里廠,24410807,20.2604,"15,290.0322","15,310.293",臺中市,光電材料及元件製造業,421台灣臺中市后里區后科路二段335號,24.3204118,120.7289226
113,B9202664,台灣美光記憶體股份有限公司台中二廠,28518076,"11,978.0914","151,053.2654","163,031.357",臺中市,半導體製造業,421台灣台中市后里区后科南路88號A棟,24.3172929,120.7253056
113,B9205905,台灣美光記憶體股份有限公司台中三廠,28518076,"62,578.4359","335,944.0137","398,522.45",臺中市,半導體製造業,421台灣臺中市后里區三豐路四段369號,24.3185835,120.7247905
113,B9501153,聯亞科技股份有限公司中科聯豐工廠,22099456,9.6309,"55,145.5392","55,155.17",臺中市,化學原材料製造業,428台灣臺中市大雅區科雅二路6-1號,24.2168011,120.6217974
113,B9502212,矽品精密工業股份有限公司中科廠,55991080,"3,641.3044","196,673.6798","200,314.984",臺中市,半導體製造業,428台灣台中市大雅区科雅路19號 自科雅五路”創新門”入廠,24.2247991,120.6269357
113,B9503291,亞東工業氣體股份有限公司中科園區分公司二廠,22522453,3.3576,"71,348.7552","71,352.113",臺中市,化學原材料製造業,428台灣臺中市大雅區科雅東路19號,24.2094541,120.6228732
113,B9503479,台灣積體電路製造股份有限公司先進封測五廠,22099131,"1,975.3431","47,386.9562","49,362.299",臺中市,半導體製造業,428台灣臺中市大雅區科雅西路5號B2樓,24.2144667,120.6178843
113,B9503488,晶元光電股份有限公司H1廠,84149786,"1,448.6114","14,325.3948","15,774.006",臺中市,光電材料及元件製造業,428台灣臺中市大雅區科雅路22號,24.2237997,120.6285947
113,C1400170,台灣電力股份有限公司協和發電廠,3795904,"2,228,812.9712",481.4702,"2,229,294.441",基隆市,電力供應業,203台灣基隆市中山區文化路80號,25.1534456,121.7348548
113,C1500291,亞昕科技股份有限公司基隆廠,51158518,125.0864,"9,412.3128","9,537.399",基隆市,其他電子零組件製造業,"No. 28-1號, 武訓街安樂區基隆市台灣 204",25.1426553,121.7014763
113,D0300727,南茂科技股份有限公司台南二廠,16130042,338.3654,"39,895.44","40,233.805",臺南市,半導體製造業,744台灣臺南市新市區南科七路3號,23.1107178,120.2778695
113,D0301680,瀚宇彩晶南科觸控感應器廠,16450500,7.3629,"1,238.5658","1,245.929",臺南市,光電材料及元件製造業,741台灣臺南市新市區南科二路35號,23.09469,120.2800349
113,D0302141,聯華電子股份有限公司Fab12A廠第二廠區,47217677,"33,443.989","331,672.0319","365,116.021",臺南市,半導體製造業,744台灣臺南市新市區南科二路18號,23.0956627,120.2790714
113,D0306069,聯亞科技股份有限公司樹谷工廠,22099456,61.6867,"166,088.178","166,149.865",臺南市,化學原材料製造業,744台灣臺南市新市區風鈴路18號,23.0968578,120.2564047
113,D0402208,台灣積體電路製造股份有限公司十八廠一期,22099131,"48,251.5684","538,175.808","586,427.376",臺南市,半導體製造業,745台灣臺南市安定區北園二路20號,23.1179671,120.2627152
113,D0402431,台灣積體電路製造股份有限公司十八廠二期,22099131,"58,006.0267","478,201.536","536,207.563",臺南市,半導體製造業,745台灣臺南市安定區北園二路20號,23.1179671,120.2627152
113,D0402815,台灣積體電路製造股份有限公司十八廠六期,22099131,"43,851.4279","383,157.0185","427,008.446",臺南市,半導體製造業,745台灣臺南市安定區北園二路20號,23.1179671,120.2627152
113,D0402824,台灣積體電路製造股份有限公司十八廠五期,22099131,"48,275.8872","405,333.0683","453,608.956",臺南市,半導體製造業,745台灣臺南市安定區北園二路20號,23.1179671,120.2627152
113,D0402833,台灣積體電路製造股份有限公司十八廠四期,22099131,"45,198.9008","375,756.1501","420,955.051",臺南市,半導體製造業,745台灣臺南市安定區北園二路20號,23.1179671,120.2627152
113,D0402904,台灣積體電路製造股分有限公司18廠三期,22099131,"52,727.3308","455,692.224","508,419.555",臺南市,半導體製造業,745台灣臺南市安定區北園二路20號,23.1179671,120.2627152
113,D0403385,三福氣體股份有限公司南科分公司南科8廠,11072509,278.9243,"179,796.0054","180,074.93",臺南市,化學原材料製造業,745台灣臺南市安定區北園三路10號,23.1229044,120.2624825
113,D0403492,台灣積體電路製造股份有限公司十八廠七期,22099131,"49,622.0401","358,455.9398","408,077.98",臺南市,半導體製造業,745台灣臺南市安定區北園二路8號,23.117125,120.2632873
113,D32A0393,安瀚視特股份有限公司台南第二工廠,70781345,"3,600.6045","9,541.269","13,141.874",臺南市,玻璃及其製品製造業,70955台灣臺南市安南區工業三路8號,23.0324796,120.1557208
113,D32A6282,聯合再生能源股份有限公司台南廠,27763753,405.4517,"20,063.472","20,468.924",臺南市,光電材料及元件製造業,709台灣臺南市安南區本田路二段518 號,23.0396329,120.1580133
